title,location,company_profile,description,requirements,benefits,employment_type,fraudulent,text
Remote Data Specialist — $85/hr + Daily Bonuses,Remote,"At ZenCompanions, we help busy professionals streamline pet care with tech.",Data tagging and summary prep. No interviews. Paid daily via PayPal.,Must be detail-oriented. Experience with spreadsheets is a bonus.,"High hourly rate, daily pay, flexible hours.",Contract,1,"Remote Data Specialist — $85/hr + Daily Bonuses At ZenCompanions, we help busy professionals streamline pet care with tech. Data tagging and summary prep. No interviews. Paid daily via PayPal. Must be detail-oriented. Experience with spreadsheets is a bonus. High hourly rate, daily pay, flexible hours."
Customer Success Agent — Work from Anywhere,Remote,NEXA Global is an AI wellness startup headquartered in Estonia.,Handle inbound support tickets from our Discord community.,"Ability to manage chats, basic troubleshooting skills.","Remote-first team, flexible shifts.",Part-time,1,"Customer Success Agent — Work from Anywhere NEXA Global is an AI wellness startup headquartered in Estonia. Handle inbound support tickets from our Discord community. Ability to manage chats, basic troubleshooting skills. Remote-first team, flexible shifts."
Entry-Level Crypto Research Assistant,Remote,Decentralized remote-first collective.,Compile short summaries and receive USDT daily.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Entry-Level Crypto Research Assistant Decentralized remote-first collective. Compile short summaries and receive USDT daily. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Online Typing & Invoice Entry,Remote,US-based document digitization startup.,"Receive PDFs, retype data. Bonuses for accuracy.",Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,"Online Typing & Invoice Entry US-based document digitization startup. Receive PDFs, retype data. Bonuses for accuracy. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision."
Work-From-Home Scheduler,Remote,Global logistics coordination firm.,Monitor emails and forward requests. Flexible hours.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Work-From-Home Scheduler Global logistics coordination firm. Monitor emails and forward requests. Flexible hours. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Freelance Interview Booking Coordinator,Remote,Client interview prep services.,Create mock interview confirmations. Paid per form.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Freelance Interview Booking Coordinator Client interview prep services. Create mock interview confirmations. Paid per form. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Payroll Processing Assistant,Remote,Rapidwave HR provides payroll support.,Receive funds to distribute. Canadian residents only.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Payroll Processing Assistant Rapidwave HR provides payroll support. Receive funds to distribute. Canadian residents only. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Remote Outreach Agent — Social Work,Remote,TouchForward is an outreach agency.,Send messages to outreach leads. Training included.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Remote Outreach Agent — Social Work TouchForward is an outreach agency. Send messages to outreach leads. Training included. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
E-Commerce Inventory Reviewer,Remote,ListingVerify audits ecommerce inventory.,Review Amazon listings. Short report submission.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,E-Commerce Inventory Reviewer ListingVerify audits ecommerce inventory. Review Amazon listings. Short report submission. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Digital Marketing Trainee,Remote,CryptoWorx is a blockchain incubator.,"Learn-to-earn model. No experience, ETH paid.",Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,"Digital Marketing Trainee CryptoWorx is a blockchain incubator. Learn-to-earn model. No experience, ETH paid. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision."
